"Statistic","CensusYear","Sex","Travelling Time","Time Leaving Home","At Work School or College","UNIT","VALUE"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","½ hour - < ¾ hour","After 09:30","Students at school or college aged 19 years and over","Number","5173"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","½ hour - < ¾ hour","Not stated","All persons","Number","2488"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","½ hour - < ¾ hour","Not stated","Population aged 15 years and over at work","Number","2069"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","½ hour - < ¾ hour","Not stated","Children at school aged between 5 and 12 years","Number","90"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","½ hour - < ¾ hour","Not stated","Students at school or college aged between 13 and 18 years","Number","132"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","½ hour - < ¾ hour","Not stated","Students at school or college aged 19 years and over","Number","197"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¾ hour - < 1 hour","All departure times","All persons","Number","152894"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¾ hour - < 1 hour","All departure times","Population aged 15 years and over at work","Number","123298"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¾ hour - < 1 hour","All departure times","Children at school aged between 5 and 12 years","Number","3504"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¾ hour - < 1 hour","All departure times","Students at school or college aged between 13 and 18 years","Number","10126"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¾ hour - < 1 hour","All departure times","Students at school or college aged 19 years and over","Number","15966"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¾ hour - < 1 hour","Before 06:30","All persons","Number","10166"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¾ hour - < 1 hour","Before 06:30","Population aged 15 years and over at work","Number","9980"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¾ hour - < 1 hour","Before 06:30","Children at school aged between 5 and 12 years","Number","14"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¾ hour - < 1 hour","Before 06:30","Students at school or college aged between 13 and 18 years","Number","23"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¾ hour - < 1 hour","Before 06:30","Students at school or college aged 19 years and over","Number","149"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¾ hour - < 1 hour","06:30 - 07:00","All persons","Number","17497"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¾ hour - < 1 hour","06:30 - 07:00","Population aged 15 years and over at work","Number","16645"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¾ hour - < 1 hour","06:30 - 07:00","Children at school aged between 5 and 12 years","Number","48"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¾ hour - < 1 hour","06:30 - 07:00","Students at school or college aged between 13 and 18 years","Number","239"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¾ hour - < 1 hour","06:30 - 07:00","Students at school or college aged 19 years and over","Number","565"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¾ hour - < 1 hour","07:01 - 07:30","All persons","Number","26239"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¾ hour - < 1 hour","07:01 - 07:30","Population aged 15 years and over at work","Number","22293"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¾ hour - < 1 hour","07:01 - 07:30","Children at school aged between 5 and 12 years","Number","314"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¾ hour - < 1 hour","07:01 - 07:30","Students at school or college aged between 13 and 18 years","Number","1839"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¾ hour - < 1 hour","07:01 - 07:30","Students at school or college aged 19 years and over","Number","1793"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¾ hour - < 1 hour","07:31 - 08:00","All persons","Number","39620"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¾ hour - < 1 hour","07:31 - 08:00","Population aged 15 years and over at work","Number","28818"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¾ hour - < 1 hour","07:31 - 08:00","Children at school aged between 5 and 12 years","Number","1158"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¾ hour - < 1 hour","07:31 - 08:00","Students at school or college aged between 13 and 18 years","Number","5115"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¾ hour - < 1 hour","07:31 - 08:00","Students at school or college aged 19 years and over","Number","4529"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¾ hour - < 1 hour","08:01 - 08:30","All persons","Number","32649"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¾ hour - < 1 hour","08:01 - 08:30","Population aged 15 years and over at work","Number","24606"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¾ hour - < 1 hour","08:01 - 08:30","Children at school aged between 5 and 12 years","Number","1330"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¾ hour - < 1 hour","08:01 - 08:30","Students at school or college aged between 13 and 18 years","Number","2327"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¾ hour - < 1 hour","08:01 - 08:30","Students at school or college aged 19 years and over","Number","4386"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¾ hour - < 1 hour","08:31 - 09:00","All persons","Number","11321"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¾ hour - < 1 hour","08:31 - 09:00","Population aged 15 years and over at work","Number","8754"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¾ hour - < 1 hour","08:31 - 09:00","Children at school aged between 5 and 12 years","Number","494"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¾ hour - < 1 hour","08:31 - 09:00","Students at school or college aged between 13 and 18 years","Number","315"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¾ hour - < 1 hour","08:31 - 09:00","Students at school or college aged 19 years and over","Number","1758"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¾ hour - < 1 hour","09:01 - 09:30","All persons","Number","5095"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¾ hour - < 1 hour","09:01 - 09:30","Population aged 15 years and over at work","Number","3758"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¾ hour - < 1 hour","09:01 - 09:30","Children at school aged between 5 and 12 years","Number","118"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¾ hour - < 1 hour","09:01 - 09:30","Students at school or college aged between 13 and 18 years","Number","101"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¾ hour - < 1 hour","09:01 - 09:30","Students at school or college aged 19 years and over","Number","1118"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¾ hour - < 1 hour","After 09:30","All persons","Number","9547"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¾ hour - < 1 hour","After 09:30","Population aged 15 years and over at work","Number","7813"
