"Statistic","CensusYear","Sex","Means of Travel","Aggregate Town or Rural Area","Time Leaving Home","At Work School or College","UNIT","VALUE"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","State","After 09:30","Children at school aged between 5 and 12 years","Number","5"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","State","After 09:30","Students at school or college aged between 13 and 18 years","Number","96"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","State","After 09:30","Students at school or college aged 19 years and over","Number","1931"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","State","Not stated","All persons","Number","591"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","State","Not stated","Population aged 15 years and over at work","Number","458"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","State","Not stated","Children at school aged between 5 and 12 years","Number","34"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","State","Not stated","Students at school or college aged between 13 and 18 years","Number","30"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","State","Not stated","Students at school or college aged 19 years and over","Number","69"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Aggregate Town Area","All departure times","All persons","Number","55363"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Aggregate Town Area","All departure times","Population aged 15 years and over at work","Number","36881"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Aggregate Town Area","All departure times","Children at school aged between 5 and 12 years","Number","4936"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Aggregate Town Area","All departure times","Students at school or college aged between 13 and 18 years","Number","6162"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Aggregate Town Area","All departure times","Students at school or college aged 19 years and over","Number","7384"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Aggregate Town Area","Before 06:30","All persons","Number","2718"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Aggregate Town Area","Before 06:30","Population aged 15 years and over at work","Number","2647"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Aggregate Town Area","Before 06:30","Children at school aged between 5 and 12 years","Number","8"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Aggregate Town Area","Before 06:30","Students at school or college aged between 13 and 18 years","Number","5"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Aggregate Town Area","Before 06:30","Students at school or college aged 19 years and over","Number","58"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Aggregate Town Area","06:30 - 07:00","All persons","Number","2968"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Aggregate Town Area","06:30 - 07:00","Population aged 15 years and over at work","Number","2828"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Aggregate Town Area","06:30 - 07:00","Children at school aged between 5 and 12 years","Number","7"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Aggregate Town Area","06:30 - 07:00","Students at school or college aged between 13 and 18 years","Number","10"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Aggregate Town Area","06:30 - 07:00","Students at school or college aged 19 years and over","Number","123"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Aggregate Town Area","07:01 - 07:30","All persons","Number","3920"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Aggregate Town Area","07:01 - 07:30","Population aged 15 years and over at work","Number","3612"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Aggregate Town Area","07:01 - 07:30","Children at school aged between 5 and 12 years","Number","25"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Aggregate Town Area","07:01 - 07:30","Students at school or college aged between 13 and 18 years","Number","102"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Aggregate Town Area","07:01 - 07:30","Students at school or college aged 19 years and over","Number","181"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Aggregate Town Area","07:31 - 08:00","All persons","Number","7389"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Aggregate Town Area","07:31 - 08:00","Population aged 15 years and over at work","Number","6040"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Aggregate Town Area","07:31 - 08:00","Children at school aged between 5 and 12 years","Number","179"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Aggregate Town Area","07:31 - 08:00","Students at school or college aged between 13 and 18 years","Number","693"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Aggregate Town Area","07:31 - 08:00","Students at school or college aged 19 years and over","Number","477"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Aggregate Town Area","08:01 - 08:30","All persons","Number","13476"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Aggregate Town Area","08:01 - 08:30","Population aged 15 years and over at work","Number","7389"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Aggregate Town Area","08:01 - 08:30","Children at school aged between 5 and 12 years","Number","1682"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Aggregate Town Area","08:01 - 08:30","Students at school or college aged between 13 and 18 years","Number","3116"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Aggregate Town Area","08:01 - 08:30","Students at school or college aged 19 years and over","Number","1289"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Aggregate Town Area","08:31 - 09:00","All persons","Number","13752"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Aggregate Town Area","08:31 - 09:00","Population aged 15 years and over at work","Number","6693"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Aggregate Town Area","08:31 - 09:00","Children at school aged between 5 and 12 years","Number","2676"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Aggregate Town Area","08:31 - 09:00","Students at school or college aged between 13 and 18 years","Number","2054"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Aggregate Town Area","08:31 - 09:00","Students at school or college aged 19 years and over","Number","2329"
