"Statistic","CensusYear","Sex","Means of Travel","Aggregate Town Size","At Work School or College","UNIT","VALUE"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","Towns 1,000 - 1,499 population","Population aged 15 years and over at work","Number","591"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","Towns 1,000 - 1,499 population","Children at school aged between 5 and 12 years","Number","617"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","Towns 1,000 - 1,499 population","Students at school or college aged between 13 and 18 years","Number","2078"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","Towns 1,000 - 1,499 population","Students at school or college aged 19 years and over","Number","422"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","Total Towns 500 - 999 population","All persons","Number","5986"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","Total Towns 500 - 999 population","Population aged 15 years and over at work","Number","694"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","Total Towns 500 - 999 population","Children at school aged between 5 and 12 years","Number","1004"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","Total Towns 500 - 999 population","Students at school or college aged between 13 and 18 years","Number","3764"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","Total Towns 500 - 999 population","Students at school or college aged 19 years and over","Number","524"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","Towns under 500 population but with at least 50 inhabited houses","All persons","Number","7110"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","Towns under 500 population but with at least 50 inhabited houses","Population aged 15 years and over at work","Number","460"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","Towns under 500 population but with at least 50 inhabited houses","Children at school aged between 5 and 12 years","Number","1413"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","Towns under 500 population but with at least 50 inhabited houses","Students at school or college aged between 13 and 18 years","Number","4708"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","Towns under 500 population but with at least 50 inhabited houses","Students at school or college aged 19 years and over","Number","529"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","Remainder of country","All persons","Number","100568"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","Remainder of country","Population aged 15 years and over at work","Number","4809"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","Remainder of country","Children at school aged between 5 and 12 years","Number","37620"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","Remainder of country","Students at school or college aged between 13 and 18 years","Number","51611"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","Remainder of country","Students at school or college aged 19 years and over","Number","6528"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Train, DART or LUAS","State","All persons","Number","70976"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Train, DART or LUAS","State","Population aged 15 years and over at work","Number","52749"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Train, DART or LUAS","State","Children at school aged between 5 and 12 years","Number","691"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Train, DART or LUAS","State","Students at school or college aged between 13 and 18 years","Number","5640"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Train, DART or LUAS","State","Students at school or college aged 19 years and over","Number","11896"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Train, DART or LUAS","Dublin City and suburbs","All persons","Number","43387"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Train, DART or LUAS","Dublin City and suburbs","Population aged 15 years and over at work","Number","33482"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Train, DART or LUAS","Dublin City and suburbs","Children at school aged between 5 and 12 years","Number","490"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Train, DART or LUAS","Dublin City and suburbs","Students at school or college aged between 13 and 18 years","Number","3215"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Train, DART or LUAS","Dublin City and suburbs","Students at school or college aged 19 years and over","Number","6200"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Train, DART or LUAS","Cork City and suburbs","All persons","Number","365"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Train, DART or LUAS","Cork City and suburbs","Population aged 15 years and over at work","Number","249"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Train, DART or LUAS","Cork City and suburbs","Children at school aged between 5 and 12 years","Number","11"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Train, DART or LUAS","Cork City and suburbs","Students at school or college aged between 13 and 18 years","Number","40"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Train, DART or LUAS","Cork City and suburbs","Students at school or college aged 19 years and over","Number","65"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Train, DART or LUAS","Limerick City and suburbs","All persons","Number","90"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Train, DART or LUAS","Limerick City and suburbs","Population aged 15 years and over at work","Number","55"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Train, DART or LUAS","Limerick City and suburbs","Children at school aged between 5 and 12 years","Number","4"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Train, DART or LUAS","Limerick City and suburbs","Students at school or college aged between 13 and 18 years","Number","4"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Train, DART or LUAS","Limerick City and suburbs","Students at school or college aged 19 years and over","Number","27"
