"Statistic","CensusYear","Sex","Means of Travel","At Work School or College","UNIT","VALUE"
"Population Usually Resident in the State at Each Census Since 1986","1991","Male","Train, DART or LUAS","All persons","Number","15517"
"Population Usually Resident in the State at Each Census Since 1986","1991","Male","Train, DART or LUAS","Population aged 15 years and over at work","Number","10352"
"Population Usually Resident in the State at Each Census Since 1986","1991","Male","Train, DART or LUAS","Children at school aged between 5 and 12 years","Number","438"
"Population Usually Resident in the State at Each Census Since 1986","1991","Male","Train, DART or LUAS","Students at school or college aged between 13 and 18 years","Number","2263"
"Population Usually Resident in the State at Each Census Since 1986","1991","Male","Train, DART or LUAS","Students at school or college aged 19 years and over","Number","2464"
"Population Usually Resident in the State at Each Census Since 1986","1991","Male","Motorcycle or scooter","All persons","Number","11279"
"Population Usually Resident in the State at Each Census Since 1986","1991","Male","Motorcycle or scooter","Population aged 15 years and over at work","Number","10463"
"Population Usually Resident in the State at Each Census Since 1986","1991","Male","Motorcycle or scooter","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident in the State at Each Census Since 1986","1991","Male","Motorcycle or scooter","Students at school or college aged between 13 and 18 years","Number","293"
"Population Usually Resident in the State at Each Census Since 1986","1991","Male","Motorcycle or scooter","Students at school or college aged 19 years and over","Number","523"
"Population Usually Resident in the State at Each Census Since 1986","1991","Male","Motor car: Driver","All persons","Number","305630"
"Population Usually Resident in the State at Each Census Since 1986","1991","Male","Motor car: Driver","Population aged 15 years and over at work","Number","303338"
"Population Usually Resident in the State at Each Census Since 1986","1991","Male","Motor car: Driver","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident in the State at Each Census Since 1986","1991","Male","Motor car: Driver","Students at school or college aged between 13 and 18 years","Number","396"
"Population Usually Resident in the State at Each Census Since 1986","1991","Male","Motor car: Driver","Students at school or college aged 19 years and over","Number","1896"
"Population Usually Resident in the State at Each Census Since 1986","1991","Male","Motor car: Passenger","All persons","Number","131048"
"Population Usually Resident in the State at Each Census Since 1986","1991","Male","Motor car: Passenger","Population aged 15 years and over at work","Number","33067"
"Population Usually Resident in the State at Each Census Since 1986","1991","Male","Motor car: Passenger","Children at school aged between 5 and 12 years","Number","73398"
"Population Usually Resident in the State at Each Census Since 1986","1991","Male","Motor car: Passenger","Students at school or college aged between 13 and 18 years","Number","21937"
"Population Usually Resident in the State at Each Census Since 1986","1991","Male","Motor car: Passenger","Students at school or college aged 19 years and over","Number","2646"
"Population Usually Resident in the State at Each Census Since 1986","1991","Male","Other means (incl. lorry or van)","All persons","Number","43910"
"Population Usually Resident in the State at Each Census Since 1986","1991","Male","Other means (incl. lorry or van)","Population aged 15 years and over at work","Number","41646"
"Population Usually Resident in the State at Each Census Since 1986","1991","Male","Other means (incl. lorry or van)","Children at school aged between 5 and 12 years","Number","1375"
"Population Usually Resident in the State at Each Census Since 1986","1991","Male","Other means (incl. lorry or van)","Students at school or college aged between 13 and 18 years","Number","648"
"Population Usually Resident in the State at Each Census Since 1986","1991","Male","Other means (incl. lorry or van)","Students at school or college aged 19 years and over","Number","241"
"Population Usually Resident in the State at Each Census Since 1986","1991","Male","Work mainly at or from home","All persons","Number","194842"
"Population Usually Resident in the State at Each Census Since 1986","1991","Male","Work mainly at or from home","Population aged 15 years and over at work","Number","189110"
"Population Usually Resident in the State at Each Census Since 1986","1991","Male","Work mainly at or from home","Children at school aged between 5 and 12 years","Number","639"
"Population Usually Resident in the State at Each Census Since 1986","1991","Male","Work mainly at or from home","Students at school or college aged between 13 and 18 years","Number","4099"
"Population Usually Resident in the State at Each Census Since 1986","1991","Male","Work mainly at or from home","Students at school or college aged 19 years and over","Number","994"
"Population Usually Resident in the State at Each Census Since 1986","1991","Male","Not stated","All persons","Number","50109"
