"Statistic","CensusYear","Sex","County of Usual Residence","Travelling Time","At Work School or College","UNIT","VALUE"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Fingal","Not stated","Students at school or college aged 19 years and over","Number","671"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","South Dublin","Total time travelling","All persons","Number","164000"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","South Dublin","Total time travelling","Population aged 15 years and over at work","Number","104153"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","South Dublin","Total time travelling","Children at school aged between 5 and 12 years","Number","31144"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","South Dublin","Total time travelling","Students at school or college aged between 13 and 18 years","Number","18525"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","South Dublin","Total time travelling","Students at school or college aged 19 years and over","Number","10178"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","South Dublin","< ¼ hour","All persons","Number","41190"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","South Dublin","< ¼ hour","Population aged 15 years and over at work","Number","16632"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","South Dublin","< ¼ hour","Children at school aged between 5 and 12 years","Number","17378"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","South Dublin","< ¼ hour","Students at school or college aged between 13 and 18 years","Number","6470"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","South Dublin","< ¼ hour","Students at school or college aged 19 years and over","Number","710"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","South Dublin","¼ hour - < ½ hour","All persons","Number","53309"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","South Dublin","¼ hour - < ½ hour","Population aged 15 years and over at work","Number","34574"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","South Dublin","¼ hour - < ½ hour","Children at school aged between 5 and 12 years","Number","9226"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","South Dublin","¼ hour - < ½ hour","Students at school or college aged between 13 and 18 years","Number","7362"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","South Dublin","¼ hour - < ½ hour","Students at school or college aged 19 years and over","Number","2147"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","South Dublin","½ hour - < ¾ hour","All persons","Number","34827"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","South Dublin","½ hour - < ¾ hour","Population aged 15 years and over at work","Number","27231"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","South Dublin","½ hour - < ¾ hour","Children at school aged between 5 and 12 years","Number","2012"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","South Dublin","½ hour - < ¾ hour","Students at school or college aged between 13 and 18 years","Number","2556"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","South Dublin","½ hour - < ¾ hour","Students at school or college aged 19 years and over","Number","3028"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","South Dublin","¾ hour - < 1 hour","All persons","Number","11964"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","South Dublin","¾ hour - < 1 hour","Population aged 15 years and over at work","Number","9565"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","South Dublin","¾ hour - < 1 hour","Children at school aged between 5 and 12 years","Number","340"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","South Dublin","¾ hour - < 1 hour","Students at school or college aged between 13 and 18 years","Number","601"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","South Dublin","¾ hour - < 1 hour","Students at school or college aged 19 years and over","Number","1458"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","South Dublin","1 hour - < 1½ hours","All persons","Number","10067"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","South Dublin","1 hour - < 1½ hours","Population aged 15 years and over at work","Number","7758"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","South Dublin","1 hour - < 1½ hours","Children at school aged between 5 and 12 years","Number","251"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","South Dublin","1 hour - < 1½ hours","Students at school or college aged between 13 and 18 years","Number","545"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","South Dublin","1 hour - < 1½ hours","Students at school or college aged 19 years and over","Number","1513"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","South Dublin","1½ hours and over","All persons","Number","2323"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","South Dublin","1½ hours and over","Population aged 15 years and over at work","Number","1468"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","South Dublin","1½ hours and over","Children at school aged between 5 and 12 years","Number","54"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","South Dublin","1½ hours and over","Students at school or college aged between 13 and 18 years","Number","144"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","South Dublin","1½ hours and over","Students at school or college aged 19 years and over","Number","657"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","South Dublin","Not stated","All persons","Number","10320"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","South Dublin","Not stated","Population aged 15 years and over at work","Number","6925"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","South Dublin","Not stated","Children at school aged between 5 and 12 years","Number","1883"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","South Dublin","Not stated","Students at school or college aged between 13 and 18 years","Number","847"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","South Dublin","Not stated","Students at school or college aged 19 years and over","Number","665"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Kildare","Total time travelling","All persons","Number","131915"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Kildare","Total time travelling","Population aged 15 years and over at work","Number","82142"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Kildare","Total time travelling","Children at school aged between 5 and 12 years","Number","26716"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Kildare","Total time travelling","Students at school or college aged between 13 and 18 years","Number","15328"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Kildare","Total time travelling","Students at school or college aged 19 years and over","Number","7729"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Kildare","< ¼ hour","All persons","Number","40736"
